"Obs" "DA.3.1" "DA.3.2" "DA.3.3" "DA.3.4" "DA.4.1" "DA.4.2" "DA.4.3" "DA.5.1" "DA.5.2" "DA.5.3" "DA.5.4" "DA.5.5" "DA.5.6" "DA.5.7" "DA.9.1" "DA.9.2"
61 66,8 738 298,2 12533 67,5 659 309,87 54383 36476 34149 13634 13290 5382 25387 2,198342 2,510515
62 67,7 685 308,2 12454 67 679 311,86 57206 38615 36176 14366 14572 3954 25308 2,194721 2,49703
63 69,3 670 322,1 12804 69 701 316,34 57948 39809 37485 13835 14406 4221 25387 2,179722 2,540428
64 70,4 666 329,5 13773 70,9 724 320,21 60938 41436 39047 15223 14850 4395 25389 2,267577 2,801928
65 72,4 776 316,1 12963 73 697 326,63 55281 37335 34783 13964 14839 4789 25144 2,22991 2,546739
66 75,1 717 328,1 12708 74,2 709 331,3 58548 39737 37042 15821 15155 3587 25229 2,226353 2,483695
67 75,5 709 335,2 13079 75,3 738 332,82 59967 41000 38008 15595 15020 3981 25176 2,186372 2,540201
68 76,5 703 348,8 13767 76,9 765 337,45 62227 43136 40132 15644 15137 4013 25232 2,283777 2,800213
69 77,9 909 328,6 13217 78,6 818 338,16 56491 39601 36466 14883 16138 4630 25368 2,243222 2,540174
70 81,3 838 334,1 12650 80,6 826 337,93 59294 42130 38680 15847 16427 3396 25288 2,21912 2,500758
71 82 826 341,8 12904 81,7 868 341,14 59628 43405 39976 14015 15878 4014 25465 2,199327 2,575984
72 82,2 824 358,9 13630 82,5 890 345,22 63955 45916 42273 16949 17616 3986 25549 2,239298 2,85041
73 81,7 999 336,5 14648 82,5 899 347,09 63354 43244 39131 16367 18517 4419 25690 2,217959 2,504323
74 86,5 930 346,4 13247 85,8 915 350,28 64334 44150 40780 17398 18342 3299 25633 2,228123 2,50147
75 87,5 878 354,8 13549 87,2 927 354,06 65634 45326 41852 17447 18361 3608 25685 2,18362 2,515115
76 88,6 827 370,2 14347 88,9 892 356,49 66238 47132 43684 17825 18798 3455 25657 2,250096 2,873211
77 88,8 966 348,3 14539 89,6 873 358,61 61172 41896 38729 17644 18499 3882 25593 2,227265 2,478189
78 90 856 361,5 12668 89,4 842 365,98 63511 43396 40427 18928 19147 2778 25676 2,224597 2,484847
79 89,7 759 369,8 13201 89,2 797 368,28 66228 44736 41576 18975 18653 2800 25914 2,195564 2,48004
80 89,5 762 384 14057 89,7 821 371,21 66782 47205 43886 18553 18361 2947 25887 2,261988 2,843757
81 89,3 953 365,3 13904 90 864 374,68 62536 42479 39131 17422 17135 3588 25756 2,215946 2,491752
82 86,6 907 365,4 12681 86,3 891 370,81 63135 43670 40394 18157 17324 2445 25894 2,213821 2,480512
83 86,6 816 372,8 13394 85,9 857 370,53 63599 44125 40956 17865 17683 2949 26153 2,20203 2,474497
84 88,7 784 381,7 13404 89 841 369,09 66672 45999 42959 18561 17267 3237 26145 2,252672 2,794402
85 89,2 951 360,9 14295 90 868 370,47 64563 42114 38714 18535 17131 4619 25972 2,233059 2,494851
86 90,2 864 364,9 12795 90 848 370,45 64342 43266 40062 19683 18563 2766 26110 2,235355 2,465846
87 91,8 840 374,8 13402 91 881 371,85 66847 44542 41152 19987 18469 3413 26281 2,208412 2,504747
88 87,8 937 384,7 13785 88,1 996 372,38 69621 46931 43460 20384 18506 3593 26227 2,255966 2,821774
89 85,1 1152 357,5 13328 85,8 1054 368,09 64960 42035 38695 19960 18348 4748 26046 2,263317 2,499131
90 83,9 1266 364,8 12736 83,8 1245 368,4 65370 42641 39780 20942 19043 2818 26224 2,251231 2,507585
91 83,4 1384 369,2 13125 82,4 1467 368,14 67257 44120 40923 22215 18444 3367 26444 2,222634 2,522975
92 81,1 1455 379,5 14118 81,3 1536 366,47 70799 47220 44093 20870 17902 3297 26335 2,277813 2,869654
93 82,8 1630 359,4 14233 83,5 1497 368,85 66793 44571 40777 20306 19116 4054 26190 2,27108 2,545501
94 86,4 1515 370,4 13139 86,3 1490 375,91 67648 45131 41778 21878 20082 2416 26358 2,276056 2,531388
95 91,4 1353 376 13574 90,3 1428 374,44 69653 47078 43160 21882 19287 2884 26576 2,257615 2,589879
96 92,5 1295 393,1 13968 92,9 1365 378,59 72437 49170 45897 21488 18097 2886 26595 2,3028 2,87912
97 95,5 1497 375,8 14000 96,4 1392 386,31 67219 46034 41947 19462 19640 4293 26465 2,286676 2,558703
98 98,1 1430 375,6 13216 97,9 1407 382,77 70480 48820 44061 23380 21412 2377 26627 2,308343 2,567264
99 100,4 1345 391,2 14089 99,2 1407 387,56 71578 48056 44378 22941 21536 2801 26806 2,263282 2,586147
100 98,7 1325 405,5 15145 99 1390 389,61 73045 50884 47237 23006 21431 2875 26801 2,310729 2,860878
101 98,4 1495 375,8 14194 99,3 1390 389,3 68728 47912 43315 22760 21829 4143 26655 2,313635 2,538721
102 99,8 1353 387,2 12661 99,8 1334 394,77 67619 46982 43396 22109 21220 1789 26839 2,310364 2,564854
103 101,5 1236 402,7 13032 100,2 1293 396,44 70234 48812 44843 22178 19676 2541 27030 2,268029 2,584301
104 100,4 1228 412,4 13529 100,8 1291 395,59 70657 50100 46835 21916 18460 2710 26930 2,310721 2,882511
105 100,2 1356 381 12193 101,3 1246 398,91 67785 47069 42833 20880 17821 3930 26739 "NA" "NA"
106 100,7 1245 400,1 11439 100,5 1233 404,99 67205 47319 43548 21597 19249 1878 26741 "NA" "NA"
107 102,2 1186 411,4 12005 100,8 1239 404,72 68724 48747 44637 22742 21465 2124 27031 "NA" "NA"
108 101,3 1156 422,2 12661 101,8 1226 406,57 70900 50697 47107 22986 20387 2264 26859 "NA" "NA"
109 101,5 1358 388,3 12423 102,6 1246 405,59 68468 46686 42552 21461 20169 "NA" 26692 "NA" "NA"
110 103,8 1197 402,4 11839 103,7 1185 406,78 67585 47232 43526 22369 21429 "NA" 26677 "NA" "NA"
111 107,3 1097 417,5 12869 105,9 1146 411,86 69594 49528 45039 22280 21057 "NA" 26909 "NA" "NA"
112 107,2 1016 431,6 13784 107,7 1086 416,85 72342 52115 47940 22890 20192 "NA" 26756 "NA" "NA"
113 107,6 "NA" 405,3 13485 108,7 "NA" 420,25 70705 48949 43740 22112 21168 "NA" 26607 "NA" "NA"
114 110 "NA" 416,6 12236 109,9 "NA" 421,07 69845 49491 45007 22256 22064 "NA" 26610 "NA" "NA"
115 113,5 "NA" 432,2 13130 111,9 "NA" 428,1 73151 52028 46667 23035 22484 "NA" 27110 "NA" "NA"
116 112,6 "NA" 446,4 14625 113,1 "NA" 432,49 75264 53850 49325 23689 22403 "NA" 27172 "NA" "NA"
117 113,6 "NA" 424,1 14552 114,1 "NA" 436,72 72865 50006 44878 23595 22989 "NA" 27148 "NA" "NA"
118 114,5 "NA" 436,3 13431 114,9 "NA" 441,1 70225 50914 46234 23398 24284 "NA" 27265 "NA" "NA"
119 115,6 "NA" 445 14504 114,5 "NA" 440,63 72785 52012 47055 24151 24291 "NA" 27699 "NA" "NA"
120 114,3 "NA" 460,6 15588 114,5 "NA" 446,66 76924 54995 50318 25885 25123 "NA" 27766 "NA" "NA"
121 114,3 "NA" 442 16000 114,7 "NA" 454,5 74812 51621 46354 24936 24862 "NA" 27688 "NA" "NA"
122 115,5 "NA" 452,1 13542 115,9 "NA" 457,28 73933 51937 47260 25836 24866 "NA" 27797 "NA" "NA"
123 118,3 "NA" 468,9 14922 117,1 "NA" 465,27 76488 54507 48883 25471 24515 "NA" 28107 "NA" "NA"
124 114,5 "NA" 482,9 15819 114,9 "NA" 469,23 79204 57470 52605 26539 24923 "NA" 28065 "NA" "NA"
125 111,4 "NA" "NA" 15393 112 "NA" "NA" 77401 54022 48527 24640 24196 "NA" 27895 "NA" "NA"
126 112,4 "NA" "NA" 13685 112,7 "NA" "NA" 76108 55458 50237 26871 26700 "NA" 27985 "NA" "NA"
127 116 "NA" "NA" 15579 114,6 "NA" "NA" 77952 57742 51592 26667 27223 "NA" 28275 "NA" "NA"
128 113,9 "NA" "NA" 16636 114,4 "NA" "NA" 82869 60535 55152 28429 27402 "NA" 28289 "NA" "NA"
129 "NA" "NA" "NA" 15956 "NA" "NA" "NA" 79907 56372 50451 27228 25975 "NA" 28095 "NA" "NA"
130 "NA" "NA" "NA" 14973 "NA" "NA" "NA" 78791 57819 52294 27363 27792 "NA" 28284 "NA" "NA"
131 "NA" "NA" "NA" 16859 "NA" "NA" "NA" 83441 61355 54633 28564 29636 "NA" 28569 "NA" "NA"
132 "NA" "NA" "NA" 18585 "NA" "NA" "NA" 85666 64554 58802 29200 29967 "NA" 28653 "NA" "NA"
133 "NA" "NA" "NA" 17956 "NA" "NA" "NA" 82799 60597 53990 27061 29216 "NA" 28565 "NA" "NA"
134 "NA" "NA" "NA" 17448 "NA" "NA" "NA" 81910 61441 55477 28020 31420 "NA" 28552 "NA" "NA"
135 "NA" "NA" "NA" 18606 "NA" "NA" "NA" 83395 65374 57850 27971 33207 "NA" 28728 "NA" "NA"
136 "NA" "NA" "NA" 20209 "NA" "NA" "NA" 88174 68212 61978 28143 33051 "NA" 28650 "NA" "NA"
137 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
138 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
139 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
140 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
141 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
142 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
143 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
144 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
145 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
146 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
147 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
148 "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA" "NA"
